Cell ID	Cluster IDs
Mono_intermediate_S68	Mono1
Mono_intermediate_S69	Mono4
Mono_intermediate_S70	Mono1
Mono_intermediate_S71	Mono3
Mono_intermediate_S72	Mono3
Mono_intermediate_S74	Mono3
Mono_intermediate_S75	Mono1
Mono_intermediate_S76	Mono1
Mono_intermediate_S78	DC6
Mono_intermediate_S79	DC6
Mono_intermediate_S7	Mono1
Mono_intermediate_S80	Mono1
Mono_intermediate_S81	Mono1
Mono_intermediate_S82	Mono4
Mono_intermediate_S83	Mono2
Mono_intermediate_S85	Mono1
Mono_intermediate_S86	Mono4
Mono_intermediate_S87	Mono4
Mono_intermediate_S88	Mono1
Mono_intermediate_S89	Mono1
Mono_intermediate_S8	Mono1
Mono_intermediate_S90	Mono4
Mono_intermediate_S91	Mono3
Mono_intermediate_S93	Mono1
Mono_intermediate_S94	Mono1
Mono_intermediate_S95	Mono2
Mono_intermediate_S96	Mono1
Mono_intermediate_S97	Mono4
Mono_intermediate_S98	Mono2
Mono_intermediate_S99	Mono1
Mono_intermediate_S9	Mono3
Mono_nonclassical_S100	Mono3
Mono_nonclassical_S101	Mono2
Mono_nonclassical_S102	Mono2
Mono_nonclassical_S103	Mono2
Mono_nonclassical_S104	Mono2
Mono_nonclassical_S105	Mono1
Mono_nonclassical_S106	Mono2
Mono_nonclassical_S107	Mono2
Mono_nonclassical_S109	Mono2
Mono_nonclassical_S10	Mono2
Mono_nonclassical_S110	Mono2
Mono_nonclassical_S111	Mono2
Mono_nonclassical_S112	Mono2
Mono_nonclassical_S113	Mono3
Mono_nonclassical_S114	Mono2
Mono_nonclassical_S115	Mono2
Mono_nonclassical_S117	Mono2
Mono_nonclassical_S118	Mono2
Mono_nonclassical_S119	Mono2
Mono_nonclassical_S11	Mono1
Mono_nonclassical_S120	Mono2
Mono_nonclassical_S121	Mono2
Mono_nonclassical_S122	Mono2
Mono_nonclassical_S123	Mono2
Mono_nonclassical_S124	Mono2
Mono_nonclassical_S12	Mono2
Mono_nonclassical_S14	Mono2
Mono_nonclassical_S15	Mono2
Mono_nonclassical_S16	Mono2
Mono_nonclassical_S18	Mono2
Mono_nonclassical_S19	Mono2
Mono_nonclassical_S1	Mono2
Mono_nonclassical_S20	Mono2
Mono_nonclassical_S21	Mono2
Mono_nonclassical_S22	Mono4
Mono_nonclassical_S23	Mono2
Mono_nonclassical_S24	DC4
Mono_nonclassical_S25	Mono2
Mono_nonclassical_S26	Mono2
Mono_nonclassical_S27	Mono2
Mono_nonclassical_S28	Mono2
Mono_nonclassical_S29	Mono2
Mono_nonclassical_S2	Mono2
Mono_nonclassical_S30	Mono2
Mono_nonclassical_S31	Mono2
Mono_nonclassical_S32	Mono2
Mono_nonclassical_S33	Mono2
Mono_nonclassical_S34	DC4
Mono_nonclassical_S35	Mono2
Mono_nonclassical_S36	Mono4
Mono_nonclassical_S37	Mono2
Mono_nonclassical_S38	Mono2
Mono_nonclassical_S39	Mono2
Mono_nonclassical_S3	Mono2
Mono_nonclassical_S40	DC4
Mono_nonclassical_S41	Mono3
Mono_nonclassical_S42	Mono4
Mono_nonclassical_S43	Mono2
Mono_nonclassical_S44	Mono2
Mono_nonclassical_S45	Mono2
Mono_nonclassical_S46	Mono2
Mono_nonclassical_S47	Mono2
Mono_nonclassical_S48	Mono2
Mono_nonclassical_S49	Mono2
Mono_nonclassical_S4	Mono2
Mono_nonclassical_S51	Mono2
Mono_nonclassical_S52	Mono2
Mono_nonclassical_S53	Mono2
Mono_nonclassical_S54	Mono1
Mono_nonclassical_S55	Mono2
Mono_nonclassical_S56	Mono2
Mono_nonclassical_S57	Mono2
Mono_nonclassical_S58	Mono2
Mono_nonclassical_S59	Mono2
Mono_nonclassical_S5	Mono2
Mono_nonclassical_S60	Mono2
Mono_nonclassical_S61	Mono2
Mono_nonclassical_S62	Mono2
Mono_nonclassical_S63	Mono4
Mono_nonclassical_S64	Mono2
Mono_nonclassical_S65	Mono1
Mono_nonclassical_S66	Mono3
Mono_nonclassical_S67	Mono2
Mono_nonclassical_S68	Mono2
Mono_nonclassical_S69	Mono2
Mono_nonclassical_S6	Mono2
Mono_nonclassical_S70	Mono2
Mono_nonclassical_S71	Mono2
Mono_nonclassical_S72	DC4
Mono_nonclassical_S73	Mono2
Mono_nonclassical_S74	Mono2
Mono_nonclassical_S75	Mono2
Mono_nonclassical_S76	Mono2
Mono_nonclassical_S77	Mono2
Mono_nonclassical_S78	Mono2
Mono_nonclassical_S79	Mono2
Mono_nonclassical_S7	Mono2
Mono_nonclassical_S80	Mono2
Mono_nonclassical_S81	Mono2
Mono_nonclassical_S82	DC4
Mono_nonclassical_S83	Mono2
Mono_nonclassical_S84	DC4
Mono_nonclassical_S85	Mono2
Mono_nonclassical_S86	Mono2
Mono_nonclassical_S88	Mono2
Mono_nonclassical_S89	Mono3
Mono_nonclassical_S90	Mono3
Mono_nonclassical_S91	Mono2
Mono_nonclassical_S92	Mono2
Mono_nonclassical_S93	Mono2
Mono_nonclassical_S94	Mono2
Mono_nonclassical_S95	Mono2
Mono_nonclassical_S96	Mono2
Mono_nonclassical_S97	Mono2
Mono_nonclassical_S98	Mono2
Mono_nonclassical_S99	Mono2
Mono_nonclassical_S9	Mono2
